Brand,Model,AccelSec,TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro,Reviews
Volkswagen,ID.3 Pro,9,160,350,166,490,Yes,RWD,Type 2 CCS,Hatchback,C,5,33000,"Mid-range ID.3 balances price and features. Good tech package. Interior lighting creates premium vibe"
Volvo,XC40 P8 AWD Recharge,4.9,180,375,200,470,Yes,AWD,Type 2 CCS,SUV,C,5,60437,"Swedish safety in EV form. Powertrain refinement impresses. Android Automotive OS needs polish"
BMW,i3 120 Ah,7.3,150,235,161,270,Yes,RWD,Type 2 CCS,Hatchback,B,4,38017,"Carbon fiber pioneer ages gracefully. Suicide doors remain practical. Quirky design still turns heads"
Peugeot,e-2008 SUV,8.5,150,250,180,380,Yes,FWD,Type 2 CCS,SUV,B,5,34361,"Compact SUV with French flair. 3D instruments dazzle. Ride firm over broken pavement"
Audi,e-tron 50 quattro,6.8,190,280,231,450,Yes,AWD,Type 2 CCS,SUV,E,5,67358,"Luxury barge for short trips. Virtual mirrors innovative but costly. Air suspension soaks up bumps"
Kia,e-Niro 64 kWh,7.8,167,370,173,350,Yes,FWD,Type 2 CCS,SUV,C,5,38105,"Practical crossover executed well. Dated interior design. Heat pump extends winter range"
Renault,Zoe ZE50 R110,11.4,135,315,165,230,Yes,FWD,Type 2 CCS,Hatchback,B,5,31184,"French EV icon. Brisk charging for city use. Safety ratings disappoint. Chic color options"
Tesla,Cybertruck Tri Motor,3,210,750,267,710,Yes,AWD,Type 2 CCS,Pickup,N,6,75000,"Apocalypse-ready styling polarizes. Stainless steel body shrugs off dings. Bed too small for serious work"
Mazda,MX-30,9,150,180,178,240,Yes,FWD,Type 2 CCS,SUV,C,5,32646,"Beautiful suicide doors, compromised utility. Range too limited. Mazda handling shines through"
Nissan,Leaf e+,7.3,157,325,172,390,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5,37237,"ProPilot assist eases highway drives. Thermal management improves longevity. Still CHAdeMO-limited"
Lexus,UX 300e,7.5,160,270,193,190,Yes,FWD,Type 2 CHAdeMO,SUV,C,5,50000,"Lexus serenity in EV form. Plush ride quality. Dismal charging network compatibility"
CUPRA,el-Born,6.5,160,425,181,570,Yes,RWD,Type 2 CCS,Hatchback,C,4,45000,"Sporty Spanish hot hatch. Aggressive styling turns heads. Firmer ride rewards enthusiasts"
Renault,Zoe ZE50 R135,9.5,140,310,168,230,Yes,FWD,Type 2 CCS,Hatchback,B,5,33133,"Peppy city companion. Fun color options. Rear drum brakes feel outdated"
Mercedes,EQA,5,200,350,171,440,Yes,AWD,Type 2 CCS,SUV,C,5,45000,"Baby Mercedes EV lacks sparkle. Safety tech impresses. Artificial engine noise gimmicky"
Tesla,Model S Long Range,3.8,250,515,184,560,Yes,AWD,Type 2,Liftback,F,5,79990,"EV icon reinvented. Yoke steering controversial. Ludicrous mode remains party trick"
Hyundai,Kona Electric 39 kWh,9.9,155,255,154,210,Yes,FWD,Type 2 CCS,SUV,B,5,33971,"Entry-level Kona capable. Good winter range. Cramped rear seats. Value-packed warranty"
Audi,e-tron Sportback 55 quattro,5.7,200,380,228,610,Yes,AWD,Type 2 CCS,SUV,E,5,81639,"Sleek coupe-SUV silhouette. Massaging seats pamper. Efficiency disappoints for price"
Skoda,CITIGOe iV,12.3,130,195,166,170,Yes,FWD,Type 2 CCS,Hatchback,A,4,24534,"Tiny urban warrior. Perfect for parking nightmares. Basic but effective transportation"
SEAT,Mii Electric,12.3,130,195,166,170,Yes,FWD,Type 2 CCS,Hatchback,A,4,20129,"Spanish cousin of e-Up!. Fun colors mask cheap interior. Ideal first EV"
Kia,e-Soul 64 kWh,7.9,167,365,175,340,Yes,FWD,Type 2 CCS,SUV,B,5,36837,"Funkmobile persists. Boxy design maximizes space. Unique lighting signature. Ride quality unsettled"
Opel,Ampera-e,7.3,150,335,173,210,Yes,FWD,Type 2 CCS,MPV,B,5,41906,"Opel's compliance car. Good range let down by slow charging. Practical interior layout"
Porsche,Taycan 4S,4,250,365,195,730,Yes,AWD,Type 2 CCS,Sedan,F,4,102945,"Daily-drivable Porsche EV. Rear-axle steering tightens turns. Option prices skyrocket quickly"
Lightyear,One,10,150,575,104,540,Yes,AWD,Type 2 CCS,Liftback,F,5,149000,"Solar roof extends range. Revolutionary efficiency. Production delays frustrate early adopters"
Aiways,U5,9,150,335,188,350,Yes,FWD,Type 2 CCS,SUV,C,5,36057,"Chinese challenger impresses. Roomy interior. Brand recognition remains hurdle. Good value proposition"
Audi,e-tron 55 quattro,5.7,200,365,237,590,Yes,AWD,Type 2 CCS,SUV,E,5,79445,"Tech flagship ages gracefully. Virtual mirrors still distract. Cargo space class-leading"
Tesla,Roadster,2.1,410,970,206,920,Yes,AWD,Type 2 CCS,Cabrio,S,4,215000,"Hypercar killer returns. SpaceX thrusters gimmicky. Convertible thrills redefined. Production elusive"
Opel,Mokka-e,8.5,150,255,176,390,Yes,FWD,Type 2 CCS,SUV,B,5,35000,"Bold Vizor design language. IntelliLux LED dazzles. Firm ride compromises comfort"
Skoda,Enyaq iV 80,8.8,160,420,183,560,Yes,RWD,Type 2 CCS,SUV,C,5,40000,"Skoda does Tesla. Massive boot swallows gear. User-friendly controls. Conservative styling"
Tesla,Model X Long Range,4.6,250,450,211,490,Yes,AWD,Type 2,SUV,F,7,85990,"Iconic falcon doors persist. Six-seat config most practical. Air suspension glides over bumps"
Honda,e Advance,8.3,145,170,168,190,Yes,RWD,Type 2 CCS,Hatchback,B,4,35921,"Premium micro EV. Camera mirrors innovative. Wood dashboard warms cabin. Range anxiety real"
DS,3 Crossback E-Tense,8.7,150,250,180,380,Yes,FWD,Type 2 CCS,SUV,B,5,37422,"French luxury in miniature. Diamond-cut details dazzle. Ride quality too firm"
Renault,Twingo ZE,12.6,135,130,164,-,No,RWD,Type 2,Hatchback,A,4,24790,"Ultra-compact city slicker. Perfect for Parisian streets. No fast charging limits utility"
Citroen,e-C4,9.7,150,250,180,380,Yes,FWD,Type 2 CCS,SUV,C,5,40000,"Hydropneumatic comfort in EV form. Progressive steering surprises. Quirky styling attracts attention"
Tesla,Model S Performance,2.5,261,505,188,550,Yes,AWD,Type 2,Liftback,F,5,96990,"Insane mode lives up to name. Carbon fiber decor excites. Track package transforms sedan"
Renault,Zoe ZE40 R110,11.4,135,255,161,230,Yes,FWD,Type 2 CCS,Hatchback,B,5,29234,"Affordable French runabout. B-mode regeneration intuitive. Safety tech lags competitors"
Tesla,Model Y Long Range Performance,3.7,241,410,177,900,Yes,AWD,Type 2 CCS,SUV,D,7,65620,"Performance SUV redefined. Track mode madness. Staggered wheels limit rotation options"
Nissan,Ariya 87kWh,7.6,160,440,198,520,Yes,FWD,Type 2 CCS,Hatchback,C,5,50000,"Nissan's return to form. Zero Gravity seats relax. ProPilot 2.0 semi-autonomous impresses"
Jaguar,I-Pace,4.8,200,365,232,340,Yes,AWD,Type 2 CCS,SUV,E,5,75351,"British design triumphs. All-wheel drive confidence. Efficiency disappoints. Meridian audio delights"
Ford,Mustang Mach-E ER RWD,7,180,450,200,430,Yes,RWD,Type 2 CCS,SUV,D,5,54475,"Pony car heritage electrified. Frunk adds utility. Sync 4A system occasionally glitchy"
Porsche,Taycan 4S Plus,4,250,425,197,890,Yes,AWD,Type 2 CCS,Sedan,F,4,109302,"Range-optimized Taycan. Glass roof brightens cabin. Sport Chrono package addictive"
Nissan,e-NV200 Evalia,14,123,190,200,190,Yes,FWD,Type 1 CHAdeMO,SPV,N,7,33246,"Electric family van. Sliding doors practical. CHAdeMO limits charging options. Basic interior"
Tesla,Cybertruck Dual Motor,5,190,460,261,710,Yes,AWD,Type 2 CCS,Pickup,N,6,55000,"Stainless steel monolith. Armor glass improves. Bed too shallow for contractors"
Renault,Kangoo Maxi ZE 33,22.4,130,160,194,-,No,FWD,Type 2,SPV,N,5,38000,"Electric workhorse. Cargo space massive. No fast charging limits commercial use"
Ford,Mustang Mach-E ER AWD,6,180,430,209,410,Yes,AWD,Type 2 CCS,SUV,D,5,62900,"All-weather Mustang. BlueCruise eases highway drives. Fake engine noise unnecessary"
